Timestamp,1.  Do you use Video Streaming Platform?,2. How frequently you watch or stream online platforms ?,3. Which of the following Video Streaming Platform do you currently use?,4. What do you watch the most on video streaming platform? ,5. Which type of web series or movies do you prefer most?,6.  Have you watch or familiar with these original web series of Netflix.,7. Have you watch or familiar with these original web series of Amazon  Prime.,8. Have you watch or familiar with these original web series of Hotstar.,9. Have you watch or familiar with these original web series of Hulu.,10. What is your age?,11. From where did you get the idea of these web series.,12. On what basis you frequently choose your movies or web series.,13. How long you are using these video streaming platforms.,14. Choose the features which you think is essential on your streaming platforms.,15. How was your overall experience of video streaming platforms according to original web series.,16. Would you like to give any suggestion for the improvement.
3/31/2021 18:00,Yes,Daily,"Prime, Hotstar","Original web series, Movies, Documentaries, Sports and News","Action, Drama, Comedy",None of the above,Mirzapur,"Special OPS, Hostages, Criminal Justice",None of the above,less than 18,"Family/Friends Recommendation, Television, Social Media",Story,Between 1 and 2 years,"Search option, Recommendation, Ease of use",Good,No
3/31/2021 19:18,Yes,Daily,Prime,"Original web series, Movies, Documentaries","Action, Drama, Comedy, Horror",None of the above,"Mirzapur, Made in heaven, Breath into the shadow ",None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Good,No
3/31/2021 19:19,Yes,Daily,Netflix,Original web series,Action,"Sacred Games, 13 Reasons Why, The Witcher, Money Heist",None of the above,None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,More than 2 years,"Search option, Recommendation, Ease of use, Accessibility",Excellent,Remove advertisement 
3/31/2021 19:19,Yes,Once or twice in a week,Netflix,"Original web series, Movies, Documentaries","Action, Drama, Comedy","Sacred Games, 13 Reasons Why, The Witcher, Money Heist",None of the above,None of the above,None of the above,31-50,"Family/Friends Recommendation, Television, Social Media","Cast, Story, Director",More than 2 years,"Search option, Recommendation, Ease of use",Excellent,High price
3/31/2021 19:21,Yes,Daily,"Prime, Hotstar","Original web series, Movies, Documentaries, Sports and News","Action, Drama, Comedy, Horror",None of the above,"Mirzapur, Tandav",None of the above,None of the above,18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story, Director",Between 1 and 2 years,"Search option, Recommendation, Ease of use",Good,No
3/31/2021 19:21,Yes,Once or twice in a week,"Netflix, Prime, Hotstar","Original web series, Movies, Documentaries, Sports and News","Action, Drama, Comedy, Horror","Sacred Games, 13 Reasons Why, The Witcher, Money Heist","Mirzapur, Made in heaven, Tandav, Breath into the shadow ","Special OPS, Hostages, Criminal Justice, Arya",None of the above,18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story, Director",Between 1 and 2 years,"Search option, Recommendation",Excellent,Decrease the duration of advertisement 
3/31/2021 19:22,Yes,Daily,"Netflix, Prime","Original web series, Movies, Documentaries","Action, Drama, Comedy","13 Reasons Why, The Witcher","Mirzapur, Tandav",None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Good,Cost of subscription
3/31/2021 19:23,Yes,Daily,Hotstar,"Original web series, Movies, Documentaries, Sports and News","Action, Drama, Comedy, Horror",None of the above,None of the above,"Hostages, Criminal Justice, Arya",None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Less than 1 year,"Search option, Recommendation",Good,No
3/31/2021 19:25,Yes,Daily,Hotstar,"Original web series, Movies, Documentaries, Sports and News","Action, Drama, Comedy, Horror, Others",None of the above,None of the above,"Special OPS, Hostages, Criminal Justice, Arya",None of the above,18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story",More than 2 years,"Search option, Recommendation",Good,There are too many ads and they give us limited storage
3/31/2021 19:25,Yes,Daily,Prime,Movies,Horror,None of the above,Made in heaven,None of the above,None of the above,18-30,"Family/Friends Recommendation, Television, Social Media",Story,Less than 1 year,Accessibility,Good,Remove ads
3/31/2021 19:30,Yes,Once or twice in a week,Hotstar,"Original web series, Movies","Drama, Comedy, Horror","Sacred Games, 13 Reasons Why, Money Heist",Mirzapur,"Special OPS, Hostages, Criminal Justice, Arya",None of the above,18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story, Director",Between 1 and 2 years,"Search option, Recommendation",Excellent,Even after subscription ads are not removed 
3/31/2021 19:32,Yes,Daily,Netflix,"Original web series, Sports and News","Action, Horror","Sacred Games, 13 Reasons Why, The Witcher, Money Heist",None of the above,None of the above,None of the above,18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story, Director",More than 2 years,"Search option, Ease of use",Good,Bad logout credentials 
4/1/2021 21:40,Yes,Once or twice in a week,Prime,"Original web series, Movies, Documentaries","Action, Drama, Comedy",None of the above,"Mirzapur, Made in heaven, Tandav",None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation, Ease of use",Excellent,They give us full package in subscription even if we don't use them
4/1/2021 21:42,Yes,Daily,"Prime, Hotstar",Original web series,"Action, Drama, Comedy",None of the above,"Mirzapur, Made in heaven, Tandav","Hostages, Arya",None of the above,31-50,"Family/Friends Recommendation, Television, Social Media","Cast, Story, Director",Between 1 and 2 years,"Search option, Recommendation, Ease of use, Accessibility",Excellent,No
4/2/2021 13:35,Yes,Daily,Prime,"Original web series, Movies, Documentaries","Action, Drama, Comedy",None of the above,"Mirzapur, Made in heaven, Tandav",None of the above,None of the above,31-50,"Family/Friends Recommendation, Television, Social Media","Cast, Story, Director",More than 2 years,"Search option, Recommendation",Excellent,No
4/2/2021 21:24,Yes,Daily,Prime,"Original web series, Movies","Action, Drama, Comedy",None of the above,"Mirzapur, Made in heaven, Tandav, Breath into the shadow ",None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Excellent,No
4/4/2021 11:45,Yes,Daily,"Netflix, Prime","Original web series, Movies, Documentaries","Action, Drama, Comedy, Horror","The Witcher, Money Heist","Mirzapur, Made in heaven, Tandav, Breath into the shadow ",None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Excellent,No
4/4/2021 23:24,Yes,Once or twice in a week,Prime,"Original web series, Movies, Documentaries","Action, Drama, Comedy, Horror, Others",None of the above,"Mirzapur, Made in heaven, Tandav, Breath into the shadow ",None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,Less than 1 year,"Search option, Recommendation",Good,No
4/5/2021 0:25,Yes,Daily,"Netflix, Prime","Original web series, Movies, Documentaries","Action, Drama, Comedy","Sacred Games, The Witcher","Mirzapur, Tandav, Breath into the shadow ",None of the above,None of the above,31-50,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Good,No 
4/5/2021 19:59,Yes,Once or twice in a week,Hotstar,"Original web series, Movies, Others","Action, Comedy","Sacred Games, 13 Reasons Why",Mirzapur,"Special OPS, Hostages, Arya",None of the above,18-30,Family/Friends Recommendation,"Cast, Story",More than 2 years,"Search option, Recommendation, Ease of use, Accessibility",Good,None
4/6/2021 10:21,Yes,Daily,"Netflix, Prime","Original web series, Movies, Documentaries","Action, Drama, Comedy",None of the above,"Mirzapur, Made in heaven",Hostages,None of the above,31-50,"Family/Friends Recommendation, Social Media","Cast, Story, Director",Less than 1 year,"Search option, Recommendation",Good,No
4/7/2021 8:16,Yes,Daily,"Prime, Hotstar","Original web series, Movies","Action, Drama, Comedy, Horror",None of the above,"Mirzapur, Made in heaven, Tandav","Special OPS, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",More than 2 years,"Search option, Recommendation, Accessibility",Excellent,No
4/7/2021 8:28,Yes,Daily,Prime,"Original web series, Movies","Action, Drama, Comedy, Horror, Others",None of the above,"Mirzapur, Made in heaven, Tandav",None of the above,None of the above,31-50,"Family/Friends Recommendation, Television, Social Media","Cast, Story, Director",Less than 1 year,"Search option, Recommendation",Excellent,No
4/7/2021 12:12,Yes,Once or twice in a week,"Netflix, Prime","Original web series, Movies, Documentaries","Action, Drama, Comedy","Sacred Games, The Witcher","Mirzapur, Tandav, Breath into the shadow ",None of the above,None of the above,18-30,Social Media,"Cast, Story",Between 1 and 2 years,"Search option, Recommendation, Ease of use",Excellent,Nope
4/7/2021 12:44,Yes,Daily,Prime,"Original web series, Movies","Action, Drama, Comedy, Horror, Others",The Witcher,"Mirzapur, Tandav",None of the above,None of the above,31-50,"Family/Friends Recommendation, Social Media","Cast, Story, Director",More than 2 years,"Search option, Recommendation",Excellent,No
4/7/2021 12:46,Yes,Once or twice in a week,"Netflix, Prime, Hotstar","Original web series, Movies, Documentaries, Sports and News, Others","Action, Drama, Comedy","13 Reasons Why, The Witcher, Money Heist","Mirzapur, Made in heaven","Special OPS, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation, Accessibility",Excellent,No need
4/7/2021 12:50,Yes,Once or twice in a week,Prime,"Original web series, Movies","Action, Drama, Comedy, Others",None of the above,"Mirzapur, The The Family man   ",None of the above,None of the above,31-50,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Improvement Needed,No
4/7/2021 13:47,Yes,Once or twice in a week,Prime,Original web series,"Action, Drama, Comedy, Horror",None of the above,"Mirzapur, Made in heaven, Breath into the shadow , Lucifer",None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story, Director",More than 2 years,"Search option, Recommendation, Ease of use, Accessibility",Excellent,No
4/8/2021 8:49,Yes,Daily,"Netflix, Prime","Original web series, Movies, Documentaries, Sports and News, Others","Action, Drama, Comedy, Horror, Others","The Witcher, Money Heist","Mirzapur, Made in heaven, Tandav",None of the above,None of the above,31-50,"Family/Friends Recommendation, Social Media","Cast, Story",More than 2 years,"Search option, Recommendation",Excellent,No
4/8/2021 16:26,Yes,Daily,Netflix,"Original web series, Movies, Documentaries","Action, Drama, Comedy, Horror","Sacred Games, 13 Reasons Why, The Witcher, Bombay begums, the crown",Mirzapur,None of the above,None of the above,18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation, Accessibility",Excellent,No
4/8/2021 16:56,Yes,Daily,Prime,"Original web series, Movies, Documentaries","Action, Drama, Comedy, Horror, Others",None of the above,"Mirzapur, Made in heaven, Tandav, Breath into the shadow ",None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story, Director",Less than 1 year,"Search option, Recommendation",Excellent,No
4/8/2021 17:14,Yes,Once or twice in a week,Prime,"Original web series, Movies, Documentaries, Others","Action, Drama, Comedy",None of the above,"Mirzapur, Tandav",None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,Less than 1 year,"Search option, Recommendation",Excellent,No
4/8/2021 17:23,Yes,Daily,Hotstar,"Original web series, Movies, Documentaries, Sports and News, Others","Action, Drama, Comedy, Others",None of the above,Mirzapur,"Special OPS, Hostages, Criminal Justice, Arya",None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation, Ease of use",Good,Too many ads
4/8/2021 18:11,Yes,Daily,Prime,"Original web series, Movies","Action, Drama, Comedy, Horror, Others",None of the above,"Mirzapur, Made in heaven, Tandav",None of the above,None of the above,18-30,Social Media,"Cast, Story, Director",Less than 1 year,"Search option, Recommendation",Good,No
4/8/2021 18:17,Yes,Daily,Prime,"Original web series, Movies","Action, Drama, Comedy",None of the above,"Mirzapur, Tandav",None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Excellent,No
4/8/2021 22:15,Yes,Daily,Hotstar,"Original web series, Movies, Documentaries, Others","Action, Drama, Comedy, Horror",None of the above,None of the above,"Hostages, Criminal Justice, Arya",None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation, Ease of use",Good,No
4/8/2021 22:17,Yes,Daily,Prime,"Original web series, Movies, Documentaries","Action, Drama, Comedy",None of the above,"Mirzapur, Made in heaven, Breath into the shadow ",None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",More than 2 years,"Search option, Recommendation",Excellent,No need
4/9/2021 19:42,Yes,Daily,Prime,"Original web series, Movies","Action, Drama, Comedy",None of the above,"Mirzapur, Made in heaven, Tandav",None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Excellent,No
4/9/2021 19:43,Yes,Daily,Prime,"Original web series, Movies, Others","Action, Drama, Comedy",None of the above,"Mirzapur, Made in heaven, Tandav",None of the above,None of the above,31-50,"Family/Friends Recommendation, Television, Social Media",Story,More than 2 years,"Search option, Recommendation",Excellent,Most of the good movie and web series is not available
4/9/2021 19:44,Yes,Daily,Prime,"Original web series, Movies, Documentaries","Action, Drama, Comedy",None of the above,"Made in heaven, Tandav",None of the above,None of the above,18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Good,No
4/10/2021 8:42,Yes,Daily,"Prime, Youtube","Original web series, Movies","Action, Drama, Comedy",None of the above,"Mirzapur, Tandav",None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Excellent,No
4/10/2021 8:43,Yes,Once or twice in a week,"Netflix, Prime","Original web series, Movies, Documentaries","Action, Drama, Comedy",The Witcher,"Mirzapur, Made in heaven, Breath into the shadow ",None of the above,None of the above,18-30,"Television, Social Media","Cast, Story, Director",Less than 1 year,"Search option, Recommendation",Good,No
4/10/2021 23:58,Yes,Daily,"Netflix, Prime, Hotstar","Original web series, Movies","Action, Drama, Comedy, Horror","Sacred Games, 13 Reasons Why, Money Heist",Mirzapur,Arya,None of the above,18-30,"Family/Friends Recommendation, Television, Social Media",Story,More than 2 years,Recommendation,Good,Decrease the advertisement duration
4/11/2021 12:08,Yes,Once or twice in a week,Prime,"Original web series, Movies, Documentaries","Action, Comedy",None of the above,"Mirzapur, Made in heaven, Tandav",None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Excellent,No
4/11/2021 12:09,Yes,Daily,Prime,"Original web series, Movies, Others","Action, Drama, Comedy, Horror",None of the above,"Mirzapur, Tandav, Breath into the shadow ",None of the above,None of the above,31-50,"Family/Friends Recommendation, Television, Social Media","Cast, Story, Director",Between 1 and 2 years,"Search option, Recommendation, Ease of use",Excellent,No
4/11/2021 12:10,Yes,Daily,Prime,"Original web series, Movies, Documentaries","Action, Drama, Comedy, Horror, Others",None of the above,"Mirzapur, Tandav, Breath into the shadow ",None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story, Director",More than 2 years,"Search option, Recommendation, Ease of use, Accessibility",Excellent,No
4/11/2021 12:11,Yes,Daily,"Netflix, Prime","Original web series, Movies, Documentaries, Others","Action, Drama, Comedy","The Witcher, Money Heist","Mirzapur, Tandav",None of the above,None of the above,18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story, Director",Between 1 and 2 years,"Search option, Recommendation, Ease of use",Excellent,No need
4/11/2021 12:12,Yes,Daily,Prime,"Original web series, Movies, Documentaries, Others","Action, Drama, Comedy, Horror, Others",None of the above,"Mirzapur, Made in heaven, Tandav, Breath into the shadow ",None of the above,None of the above,31-50,"Family/Friends Recommendation, Television, Social Media","Cast, Story, Director",More than 2 years,"Search option, Recommendation, Ease of use",Excellent,No
4/11/2021 14:41,Yes,Daily,"Netflix, Prime, Hotstar","Original web series, Movies, Documentaries, Sports and News","Action, Drama, Comedy, Horror","Sacred Games, 13 Reasons Why, The Witcher, Money Heist","Mirzapur, Made in heaven, Tandav","Special OPS, Hostages, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story, Director",Between 1 and 2 years,"Recommendation, Ease of use",Excellent,Remove adds
4/11/2021 18:45,Yes,Once or twice in a week,Netflix,"Original web series, Movies, Documentaries","Action, Drama, Comedy","Sacred Games, The Witcher",None of the above,None of the above,None of the above,18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story, Director",Between 1 and 2 years,"Search option, Recommendation",Excellent,No
4/11/2021 18:45,Yes,Daily,Prime,"Original web series, Movies, Documentaries","Action, Drama, Comedy",None of the above,"Mirzapur, Made in heaven, Tandav",None of the above,None of the above,18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story, Director",Between 1 and 2 years,"Search option, Recommendation, Ease of use, Accessibility",Improvement Needed,No
4/11/2021 18:46,Yes,Daily,Prime,Original web series,"Action, Drama, Comedy, Horror, Others",None of the above,"Mirzapur, Made in heaven, Tandav",None of the above,None of the above,31-50,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Excellent,No
4/11/2021 18:56,Yes,Daily,"Netflix, Prime","Original web series, Movies","Action, Drama, Comedy, Horror","13 Reasons Why, Money Heist","Mirzapur, Made in heaven, Tandav, Breath into the shadow ",None of the above,None of the above,31-50,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation, Ease of use",Excellent,No
4/11/2021 18:57,Yes,Daily,Prime,"Original web series, Movies, Documentaries, Sports and News, Others","Drama, Comedy, Others",None of the above,"Made in heaven, Tandav",None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Excellent,No
4/12/2021 9:11,Yes,Daily,"Netflix, Prime, Hotstar","Original web series, Movies, Documentaries, Sports and News","Action, Drama, Comedy, Horror","Sacred Games, 13 Reasons Why, The Witcher, Money Heist","Mirzapur, Made in heaven, Tandav","Special OPS, Hostages, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story, Director",Between 1 and 2 years,"Recommendation, Ease of use",Excellent,Remove adds
4/12/2021 9:12,Yes,Once or twice in a week,Netflix,"Original web series, Movies, Documentaries, Sports and News","Action, Comedy, Horror","Sacred Games, 13 Reasons Why, The Witcher, Money Heist",Mirzapur,None of the above,None of the above,18-30,Family/Friends Recommendation,Story,More than 2 years,"Recommendation, Accessibility",Excellent,Remove adds
4/12/2021 14:13,Yes,Daily,"Netflix, Prime, Hotstar","Original web series, Movies, Documentaries","Action, Drama, Comedy, Horror",13 Reasons Why,Made in heaven,"Special OPS, Hostages, Criminal Justice",Woke,18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story, Director",Between 1 and 2 years,"Search option, Ease of use",Excellent,Limit the add duration
4/12/2021 23:13,Yes,Daily,Prime,"Original web series, Documentaries","Drama, Comedy",None of the above,"Made in heaven, Tandav",None of the above,None of the above,31-50,"Social Media, Ads on OTT platforms","Cast, Story, Director",Between 1 and 2 years,"Search option, Recommendation",Excellent,No need
4/12/2021 23:15,Yes,Daily,"Netflix, Prime","Original web series, Movies, Documentaries","Action, Drama, Comedy, Horror, Others","13 Reasons Why, The Witcher, Money Heist","Mirzapur, Tandav",None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Good,yes need to decrease the membership amount
2021/04/28 8:55:16 AM GMT+5:30,Yes,Daily,Prime,Original web series,"Action, Comedy",None of the above,"Mirzapur, Tandav",None of the above,None of the above,18-30,Social Media,Cast,Between 1 and 2 years,"Search option, Recommendation",Excellent,No
2021/04/28 2:40:46 PM GMT+5:30,Yes,Once or twice in a week,Prime,Original web series,"Action, Drama, Comedy",None of the above,"Mirzapur, Made in heaven",None of the above,None of the above,18-30,Family/Friends Recommendation;Social Media,"Cast, Story",Less than 1 year,"Search option, Recommendation",Good,No need
2021/04/28 2:41:40 PM GMT+5:30,Yes,Daily,Prime,Original web series,"Action,Drama",None of the above,"Mirzapur, Made in heaven, Tandav",None of the above,None of the above,31-50,Family/Friends Recommendation;Social Media,"Cast, Story",More than 2 years,Search option,Excellent,No
